"word","time"
"","1680295261790000"
"friend","1680295263828000"
"borrowed","1680295265840000"
"a","1680295267850000"
"lot","1680295269870000"
"of","1680295271900000"
"money","1680295273910000"
"from","1680295275920000"
"the","1680295277930000"
"smated.","1680295279940000"
"","1680295281950000"
"There","1680295283960000"
"are","1680295285970000"
"clothes","1680295287982000"
"chillent.","1680295289992000"
"","1680295292002000"
"My","1680295294011000"
"brother","1680295296022000"
"broke","1680295298031000"
"his","1680295300042000"
"arm","1680295302052000"
"last","1680295304062000"
"weekend.","1680295306072000"
"","1680295308083000"
"My","1680295310095000"
"sister","1680295312104000"
"dyed","1680295314117000"
"her","1680295316128000"
"hair","1680295318140000"
"thervand.","1680295320152000"
"","1680295322162000"
"I","1680295324175000"
"will","1680295326184000"
"put","1680295328194000"
"my","1680295330204000"
"food","1680295332216000"
"on","1680295334227000"
"the","1680295336236000"
"twision.","1680295338248000"
"","1680295340256000"
"You","1680295342266000"
"may","1680295344276000"
"choose","1680295346286000"
"what","1680295348296000"
"to","1680295350307000"
"eat","1680295352316000"
"from","1680295354327000"
"this","1680295356337000"
"aciss.","1680295358348000"
"","1680295360356000"
"The","1680295362367000"
"last","1680295364376000"
"time","1680295366387000"
"he","1680295368400000"
"made","1680295370412000"
"a","1680295372422000"
"business","1680295374432000"
"trip","1680295376444000"
"to","1680295378454000"
"Columbia.","1680295380463000"
"","1680295382474000"
"The","1680295384484000"
"menu","1680295386494000"
"offered","1680295388503000"
"vegetarian","1680295390514000"
"dishes.","1680295392524000"
"","1680295394533000"
"This","1680295396544000"
"is","1680295398554000"
"only","1680295400565000"
"the","1680295402605000"
"wiplent.","1680295404614000"
"","1680295406624000"
"I","1680295408636000"
"own","1680295410644000"
"a","1680295412653000"
"lot","1680295414664000"
"of","1680295416674000"
"property","1680295418689000"
"in","1680295420698000"
"Boston.","1680295422707000"
"","1680295424719000"
"The","1680295426730000"
"alligator's","1680295428741000"
"teeth","1680295430750000"
"were","1680295432760000"
"so","1680295434770000"
"chation.","1680295436781000"
"","1680295438790000"
"We","1680295440801000"
"took","1680295442810000"
"refuge","1680295444822000"
"behind","1680295446831000"
"a","1680295448840000"
"sceer.","1680295450851000"
"","1680295452860000"
"The","1680295454870000"
"game","1680295456880000"
"looked","1680295458890000"
"fun","1680295460902000"
"but","1680295462910000"
"all","1680295464921000"
"the","1680295466931000"
"pieces","1680295468939000"
"were","1680295470949000"
"missing.","1680295472960000"
"","1680295474972000"
"He","1680295476982000"
"was","1680295478992000"
"efficient","1680295481001000"
"in","1680295483011000"
"his","1680295485023000"
"warten.","1680295487032000"
"","1680295489043000"
"I","1680295491053000"
"pulled","1680295493065000"
"my","1680295495074000"
"scarf","1680295497085000"
"tight","1680295499094000"
"over","1680295501106000"
"my","1680295503114000"
